[Hospital]
;nodeID		pipeID
43816	C43816	
32955	C32955

[Firefight]
;pipeID		Design_flow(L/s)
F21643	35	
F54531	35

[BREAKS]
;Pipe ID	BreakID		FlowID	Diameter(mm)	pipes closed for isolation	Isolation time(min)	replacement(h)
437	E437	D437	500	169	623	4384 45	13			
3602	E3602	D3602	200	3602	30	7					
2112	E2112	D2112	200	2112	2123	2124	2106	60	7		
3562	E3562	D3562	200	3562	3584	3721	3270	60	7		
5333	E5333	D5333	200	5332	5327	5384	45	7			
5698	E5698	D5698	200	5696	5695	5738	5824	5853	5841	90	7
3045	E3045	D3045	150	3045	3047	3046	2980	60	5		
338	E338	D338	150	338		30	5					
5837	E5837	D5837	150	5837	5760	5838	5835	60	5		
3391	E3391	D3391	100	3360	3438	3364	3439	60	4		
254	E254	D254	100	285		287		286		248		256	75	4	
4661	E4661	D4661	100	4692	4673	4656	4648	60	4		
5105	E5105	D5105	75	5105	15	3					
1221	E1221	D1221	75	1221	30	3					
1379	E1379	D1379	75	1379	30	3					
1413	E1413	D1413	75	1413	1435	1436	45	3			
1701	E1701	D1701	75	1701	1734	1733	1724	60	3		
1952	E1952	D1952	75	1952	30	3					
2065	E2065	D2065	75	2066	2052	2134	2135	2132	2120	90	3
3144	E3144	D3144	75	3144	30	3					
3187	E3187	D3187	75	3187	3198	3151	45	3			
3681	E3681	D3681	75	3688	3794	3770	3668	3788	75	3	
446	E446	D446	75	435	423	30	3				
4895	E4895	D4895	75	4895	4990	30	3				
58	E58	D58	75	66	67	30	3			
618	E618	D618	75	618	15	3					
630	E630	D630	75	630	30	3


[LEAKS]

;PipeID	LeakID	FlowID 	Diameter(mm) reparation(h)
4805	E4805	D4805		350			6							
3342	E3342	D3342		250			5							
3772	E3772	D3772		250			5							
3571	E3571	D3571		200			4							
5066	E5066	D5066		200			4							
5869	E5869	D5869		200			4							
6065	E6065	D6065		200			4							
1060	E1060	D1060		150			4							
1702	E1702	D1702		150			4							
2704	E2704	D2704		150			4							
3124	E3124	D3124		150			4							
3404	E3404	D3404		150			4							
3640	E3640	D3640		150			4							
3693	E3693	D3693		150			4							
380	E380	D380		150			4							
3895	E3895	D3895		150			4							
4082	E4082	D4082		150			4							
5135	E5135	D5135		150			4							
6005	E6005	D6005		150			4							
620	E620	D620		150			4							
776	E776	D776		150			4							
3884	E3884	D3884		100			3							
1763	E1763	D1763		100			3							
1969	E1969	D1969		100			3							
2298	E2298	D2298		100			3							
280	E280	D280		100			3							
3273	E3273	D3273		100			3							
3387	E3387	D3387		100			3							
3446	E3446	D3446		100			3							
3545	E3545	D3545		100			3							
3572	E3572	D3572		100			3							
363	E363	D363		100			3							
3817	E3817	D3817		100			3							
3969	E3969	D3969		100			3							
4050	E4050	D4050		100			3							
450	E450	D450		100			3							
5497	E5497	D5497		100			3							
5787	E5787	D5787		100			3							
5933	E5933	D5933		100			3							
610	E610	D610		100			3							
616	E616	D616		100			3							
1818	E1818	D1818		75			2							
3331	E3331	D3331		75			2							
4594	E4594	D4594		75			2							
47	E47	D47		75			2							
4889	E4889	D4889		75			2							
5188	E5188	D5188		75			2							
840	E840	D840		75			2							
902	E902	D902		75			2							
1175	E1175	D1175		75			2							
1176	E1176	D1176		75			2							
1241	E1241	D1241		75			2							
1369	E1369	D1369		75			2							
1593	E1593	D1593		75			2							
1595	E1595	D1595		75			2							
1892	E1892	D1892		75			2							
191	E191	D191		75			2							
1978	E1978	D1978		75			2							
210	E210	D210		75			2							
2597	E2597	D2597		75			2							
2599	E2599	D2599		75			2							
2705	E2705	D2705		75			2							
2999	E2999	D2999		75			2							
3038	E3038	D3038		75			2							
3101	E3101	D3101		75			2							
3147	E3147	D3147		75			2							
32	E32	D32		75			2							
3257	E3257	D3257		75			2							
3285	E3285	D3285		75			2							
3497	E3497	D3497		75			2							
38	E38	D38		75			2							
3834	E3834	D3834		75			2							
